Image_ID,Class,Source,URL,Frame_number
1,fight,twitter_video,https://video.twimg.com/amplify_video/1178452303290028050/vid/720x720/4LEqwbvenWRoaGrN.mp4,2
2,fight,twitter_video,https://video.twimg.com/amplify_video/1229775601315319808/vid/500x1080/x0LosGXNMU1a7KkV.mp4,0
3,fight,twitter_video,https://video.twimg.com/amplify_video/1230942464011206656/vid/1280x720/PZHI-WYhGPDq8Mmn.mp4,0
4,fight,twitter_video,https://video.twimg.com/amplify_video/1238895460821004289/vid/720x720/mfBCPkvhv2-JZQyE.mp4,6
5,fight,twitter_video,https://video.twimg.com/amplify_video/1242498265402060801/vid/640x640/TtsmlsE2Wwe9n0sO.mp4,6
6,fight,twitter_video,https://video.twimg.com/amplify_video/1243673880444706816/vid/1280x720/mpSRJw2uEPvNAvHQ.mp4,5
7,fight,twitter_video,https://video.twimg.com/amplify_video/1246354851509850113/vid/1280x720/KPc3xm3BnbGOj4To.mp4,3
8,fight,twitter_video,https://video.twimg.com/amplify_video/1248272330071003136/vid/720x720/DsuUEWSMovF9sNQL.mp4,0
9,fight,twitter_video,https://video.twimg.com/amplify_video/1315979368951316481/vid/720x720/9Vjnu7SzY1dcu1cW.mp4,7
10,fight,twitter_video,https://video.twimg.com/amplify_video/1317911958608379905/vid/720x720/_bSAadQ1myZmgzln.mp4,6
11,fight,twitter_video,https://video.twimg.com/amplify_video/1319234276282396672/vid/1680x720/J1N75BsISljvMwbB.mp4,4
12,fight,twitter_video,https://video.twimg.com/amplify_video/1335003657268555776/vid/416x720/JxkFAhlWq-VmCK-Y.mp4,0
13,fight,twitter_video,https://video.twimg.com/amplify_video/1336769541913849859/vid/1280x720/s5C4ousWkQ3A3FXI.mp4,4
14,fight,twitter_video,https://video.twimg.com/amplify_video/1338556758625644547/vid/720x720/cLy7ev5Mhd0mTBRN.mp4,3
15,fight,twitter_video,https://video.twimg.com/amplify_video/1338568118814183424/vid/176x144/_4m9Ftd-BwxgzAJk.mp4,8
16,fight,twitter_video,https://video.twimg.com/amplify_video/1339975767963385857/vid/1280x720/1cRy_wAiMXvdprF4.mp4,4
17,fight,twitter_video,https://video.twimg.com/amplify_video/1340103544209367042/vid/1280x720/4enL3-hTNIofhrRt.mp4,0
18,fight,twitter_video,https://video.twimg.com/ext_tw_video/1006432609927249921/pu/vid/480x480/21wOMlQZz_JfnQKm.mp4,0
19,fight,twitter_video,https://video.twimg.com/ext_tw_video/1014225088630018048/pu/vid/640x360/Ks8MCNH647V1m4ds.mp4,6
20,fight,twitter_video,https://video.twimg.com/ext_tw_video/1014619328396685312/pu/vid/1280x720/GnVFnfjfsLwkqIxb.mp4,1
21,fight,twitter_video,https://video.twimg.com/ext_tw_video/1022485869330976768/pu/vid/512x640/YO53LjRL3hlfPxj9.mp4,0
22,fight,twitter_video,https://video.twimg.com/ext_tw_video/1025828568368959488/pu/vid/1280x720/UTBIBIl5fcu6p4yn.mp4,0
23,fight,twitter_video,https://video.twimg.com/ext_tw_video/1032476015434424321/pu/vid/224x352/fStHM9hZ3PA6c_HX.mp4,2
24,fight,twitter_video,https://video.twimg.com/ext_tw_video/1033700695034056706/pu/vid/960x720/tOCVCatxUD8DB1XX.mp4,7
25,fight,twitter_video,https://video.twimg.com/ext_tw_video/1034230224156676096/pu/vid/1280x720/kK8JZCFn-zpR22tX.mp4,6
26,fight,twitter_video,https://video.twimg.com/ext_tw_video/1034230224156676096/pu/vid/1280x720/kK8JZCFn-zpR22tX.mp4,8
27,fight,twitter_video,https://video.twimg.com/ext_tw_video/1037774474899271682/pu/vid/720x1280/5kVp8fTzbewrYUZF.mp4,2
28,fight,twitter_video,https://video.twimg.com/ext_tw_video/1037774474899271682/pu/vid/720x1280/5kVp8fTzbewrYUZF.mp4,2
29,fight,twitter_video,https://video.twimg.com/ext_tw_video/1043752909135966208/pu/vid/960x720/WSxhoHBzFJ3XMKG9.mp4,4
30,fight,twitter_video,https://video.twimg.com/ext_tw_video/1059627408402206720/pu/vid/360x540/wD6RcxIAIBaZxhJt.mp4,0
31,fight,twitter_video,https://video.twimg.com/ext_tw_video/1059627408402206720/pu/vid/360x540/wD6RcxIAIBaZxhJt.mp4,4
32,fight,twitter_video,https://video.twimg.com/ext_tw_video/1061127005930835969/pu/vid/960x720/_3_pY6S88QEmsmy8.mp4,0
33,fight,twitter_video,https://video.twimg.com/ext_tw_video/1061127005930835969/pu/vid/960x720/_3_pY6S88QEmsmy8.mp4,1
34,fight,twitter_video,https://video.twimg.com/ext_tw_video/1061127005930835969/pu/vid/960x720/_3_pY6S88QEmsmy8.mp4,5
35,fight,twitter_video,https://video.twimg.com/ext_tw_video/1070109682516221952/pu/vid/640x800/MvDjnMvf-LkMYf1A.mp4,1
36,fight,twitter_video,https://video.twimg.com/ext_tw_video/1070109682516221952/pu/vid/640x800/MvDjnMvf-LkMYf1A.mp4,3
37,fight,twitter_video,https://video.twimg.com/ext_tw_video/1086977225721892864/pu/vid/420x660/xm-OkNyz66YaQrQ1.mp4,0
38,fight,twitter_video,https://video.twimg.com/ext_tw_video/1086977225721892864/pu/vid/420x660/xm-OkNyz66YaQrQ1.mp4,5
39,fight,twitter_video,https://video.twimg.com/ext_tw_video/1092125551081345024/pu/vid/360x640/V8yXiMW0gbiSzWxz.mp4,0
40,fight,twitter_video,https://video.twimg.com/ext_tw_video/1092276528694681600/pu/vid/640x640/Pt5idIrPLVdp72Wn.mp4,2
41,fight,twitter_video,https://video.twimg.com/ext_tw_video/1093575142872150017/pu/vid/720x1280/0gHUUUNPXYVrb1iK.mp4,0
42,fight,twitter_video,https://video.twimg.com/ext_tw_video/1097891885568458752/pu/vid/720x720/s1scmw2oJkycTALb.mp4,0
43,fight,twitter_video,https://video.twimg.com/ext_tw_video/1097891885568458752/pu/vid/720x720/s1scmw2oJkycTALb.mp4,5
44,fight,twitter_video,https://video.twimg.com/ext_tw_video/1097891885568458752/pu/vid/720x720/s1scmw2oJkycTALb.mp4,6
45,fight,twitter_video,https://video.twimg.com/ext_tw_video/1097891885568458752/pu/vid/720x720/s1scmw2oJkycTALb.mp4,7
46,fight,twitter_video,https://video.twimg.com/ext_tw_video/1098533996030349312/pu/vid/720x1280/F478Py64xLROvZvT.mp4,2
